textID,selected_text
96d74cb729,is Good BJ
eee518ae67,to such quit
01082688c6,bday happy
33987a8ee5,http twitpic it
726e501993,weee thats great
261932614e,ON ME EVERYONE
afa11da83f,wish and in
e64208b4ef,short of the
37bcad24ca,to leaving you
24c92644a4,have known My
43b390b336,We didnt win
69d6b5d93e,Did the you
5c1e0b61a1,youngest the my
504e45d9d9,not is out
ae93ad52a0,hate hot my
9fce30159a,Miss you
00d5195223,Cramps
33f19050cf,yesterday nice say
f7718b3c23,my great Im
9ef44428d0,us No Stupid
be634ebeb0,me you to
3dcf4f7e13,bad geebus retail
f0ef04109b,to about sleep
8be365118e,you make me
c50bdd4567,thats so cool
334954f215,hate sat apple
b783916431,coding Sunday another
1fa8e6ad66,you com who
be38b29042,the a No
95701e8ed9,to on you
4dd58ecd2c,to resorted Mickey
cf553cccd5,sorry not is
55c69c2d52,sun Your ask
9b1a52cc02,you go whered
cce5c4744a,Lies good of
c7f9d559e2,Happy mumm mothers
3d2478db59,really day missed
6d846d7d50,sorry at least
599f51af6b,sorry new like
87daa62920,u ma much
6506dc55ff,when at I
746d87f93e,and to Light
ef7ef8e474,the that looking
d3d7b13278,in happy running
ddc07db84e,da Hope fun
67afe60d31,phone good i
17d18ba9ef,wonderful thinks SG
ab57d75f20,sorry this know
f0acd25d8e,happy Not
cf3b068b03,good a that
d6c34fa875,to the one
614aed9113,so tired have
dfa577d3c1,Thanks Ennio
10dcbe4dfb,kelslaws with to
a0bfb12773,you You nice
71f4a9b495,better why longshot
d33ed264b3,but work it
77f88ea9e2,to not im
fe1deac869,a tan nice
e591a725ef,still we though
2dbb28cc29,certain not are
a7e4ad250a,of No I
7d87899024,you I plans
461b51fa58,love starbucks too
c31d79c440,watching a whilst
32ee7ef6c2,exciting better holiday
29f805a7d2,Salvation by myself
d41fe360e4,the on to
a04c8c8695,my time to
25e42b2bf2,love wont you
5843d17b1d,cute fan appearances
474d10ff48,right night bad
38e69da3a1,you had I
972dc5787d,young looking _LaMont
0ba6aaf9aa,wrong link ignore
7a81537034,the and you
311d2b185b,the split They
1e46d72ec6,wish they yep
390f169584,the couches and
58129e4130,Party Thanks Yay
e6c9e5e3ab,26th February
cb5e709de8,Corky His is
a14b4ff440,best you Happy
5d57a5eda2,Thank you on
1e3561e921,and lol out
c2ea5cb58b,feeling all Not
cde0016d6d,hurts com THIS
5fc411e8d1,know _berland I
5ffb19ae8f,shar Vega Gnight
76da985a47,The sticking poking
3a98aa4762,Happy Day Mothers
886545bbab,Yes am I
2afe118dc3,sweden I Mitch
704c53f4cf,fourth Happy you
71fa60d9ff,day terrible sweet
c238c4dbb7,hard watched just
dc73e85417,to you antibacterial
af63915fa9,on noon to
eb2fc4d281,class 50 hope
f9382a1f7b,the And patch
54670ca807,dont but with
3ab338c459,a great trying
c7c7f7f025,not FML prohibiting
1256e6a4d2,since while little
990cdeae87,cook see to
9a55d83c79,me yeh 2
c8307a482d,but din learning
0a21b662a4,you to i
297f7d9e0f,fricken ive miss
68901906a4,premiered computer 3
3112944847,HP ughh the
8f8334ffa2,is And called
322546026e,200 yay breaking
e6c154f9be,I not am
e96d849b35,Tis awesome for
124e30d941,kinds happy dont
fbb5742bbb,in _Adel case
e90acf3c42,but results him
0b0944285d,to bay much
a11da2d3bf,with Playin were
161bfc7c8a,value good seriously
4a65010643,riley hacked hahaha
1b460c82f0,on doesnt Sad
43e91a5488,Did you it
410dd99aa3,again then sad
b3eadfc565,story I the
480894125b,absoute youre best
001617fca4,BGT god this
52f2f23473,daily exercise to
e7e27b0c91,Welcome
834dc73c0c,to hit the
aeb0e9d730,to go you
c672c9da1d,CMT com for
cbee1946d3,just tired not
b1999f0951,a I Now
25510fbf89,nice have better
bcb9426abb,BEA I wish
0d29624200,But the Grint
3f0f5891ab,your love books
0b34e66ea3,a in taking
11de8c0456,My Slowing I
d5712716e9,phone for thank
3f90f95beb,with funny pretty
c108e09b19,Update on the
7223fdccc2,BUT are GO
f254748cdb,Happy Mothers Day
256453d14f,of Its since
8fd01857a9,dreaming awake the
37227c0dbf,to nothing the
20aff2fcb1,naptime but missed
ca223af36e,basketball Saturdays Good
90977e9614,Norton a love
433b1ab9ea,for comfy mommie
